name,calories,protein,fat,carbs
Tofu 1,298,31.5,0.9,34.7
Blueberries 2,252,33.9,2.5,38.0
Rice 3,24,23.3,5.5,5.4
Strawberries 4,81,8.7,18.8,7.6
Sweet Potato 5,349,13.7,1.6,6.5
Sweet Potato 6,266,33.1,14.9,12.2
Almonds 7,332,11.8,10.1,8.1
Strawberries 8,370,5.9,23.7,56.5
Carrot 9,55,22.0,8.8,25.4
Tofu 10,171,3.3,12.9,58.4
Avocado 11,366,34.1,2.9,10.6
Apple 12,208,4.1,21.9,49.2
Egg 13,216,13.6,9.7,4.8
Orange 14,23,33.2,25.0,10.0
Cheese 15,299,33.6,22.5,3.4
Tomato 16,279,5.1,8.7,57.2
Pasta 17,265,1.3,21.3,58.6
Grapes 18,101,33.8,3.8,46.5
Onion 19,48,23.1,4.1,38.7
Egg 20,42,25.0,2.8,58.2
Blueberries 21,84,21.8,4.3,22.0
Peanut Butter 22,91,29.4,0.2,57.5
Broccoli 23,391,28.6,21.3,8.4
Strawberries 24,51,29.8,10.8,32.8
Yogurt 25,393,30.6,10.4,5.0
Yogurt 26,223,32.2,13.1,50.2
Salmon 27,351,21.2,11.1,4.7
Onion 28,372,27.1,23.7,50.2
Beef 29,82,13.2,11.9,53.5
Almonds 30,377,20.0,16.7,16.3
Pasta 31,337,1.0,3.5,45.9
Quinoa 32,396,27.7,14.0,0.0
Blueberries 33,94,30.9,3.6,30.3
Strawberries 34,156,21.8,20.2,36.1
Chicken Breast 35,366,19.6,0.5,35.9
Beef 36,229,27.3,18.0,20.4
Tofu 37,253,29.0,7.5,27.4
Carrot 38,365,16.5,19.8,48.7
Egg 39,26,31.6,13.2,22.3
Onion 40,140,24.5,5.2,32.4
Orange 41,231,20.5,10.1,6.6
Broccoli 42,356,34.3,13.3,46.4
Apple 43,92,30.5,16.0,43.9
Carrot 44,292,22.7,24.8,0.6
Tomato 45,36,4.9,6.2,18.9
Almonds 46,46,21.5,18.0,3.3
Chicken Breast 47,197,20.0,6.9,42.8
Spinach 48,166,16.0,24.0,5.5
Cheese 49,272,11.8,0.8,35.8
Oats 50,79,31.8,5.0,58.6
Salmon 51,363,30.2,21.9,36.2
Strawberries 52,140,5.5,12.2,41.1
Pasta 53,186,7.6,20.7,11.6
Banana 54,97,12.6,6.4,18.2
Almonds 55,300,27.1,1.6,23.4
Carrot 56,92,20.9,20.4,54.3
Almonds 57,183,12.4,24.3,25.1
Cheese 58,239,20.9,23.0,41.0
Beef 59,298,16.0,10.5,55.1
Rice 60,357,5.4,0.8,46.3
Avocado 61,300,34.5,3.2,41.2
Tomato 62,185,7.8,18.4,36.8
Broccoli 63,258,26.1,21.7,9.7
Yogurt 64,225,13.3,11.3,44.0
Rice 65,269,19.9,12.1,37.2
Onion 66,293,12.3,15.1,21.9
Peanut Butter 67,233,33.9,19.9,28.9
Pasta 68,203,21.7,13.4,33.3
Egg 69,63,0.7,8.0,16.6
Chicken Breast 70,325,8.9,10.6,10.2
Strawberries 71,31,13.7,9.9,57.7
Carrot 72,43,13.3,10.1,40.9
Strawberries 73,24,8.9,22.8,4.0
Onion 74,170,2.1,0.6,36.0
Chicken Breast 75,306,4.2,10.6,11.4
Oats 76,150,14.3,6.3,33.7
Tomato 77,124,1.5,16.2,41.8
Spinach 78,249,4.5,17.9,2.6
Egg 79,208,22.6,20.4,39.3
Oats 80,51,6.9,11.9,23.8
Onion 81,233,34.5,11.5,21.1
Salmon 82,45,14.5,11.7,9.3
Egg 83,292,3.3,11.3,18.8
Quinoa 84,218,28.0,4.2,27.8
Spinach 85,258,21.5,11.1,56.9
Tomato 86,48,6.5,13.6,49.3
Egg 87,103,29.1,3.3,20.2
Sweet Potato 88,372,34.3,2.5,6.5
Rice 89,50,3.5,11.9,32.3
Quinoa 90,48,20.9,17.3,54.4
Salmon 91,230,14.9,2.0,43.1
Tuna 92,241,23.5,15.0,20.8
Blueberries 93,160,12.0,20.5,52.5
Quinoa 94,368,1.6,4.9,41.9
Banana 95,267,6.3,16.4,35.6
Grapes 96,48,17.1,24.6,9.4
Grapes 97,312,10.5,9.2,31.8
Tofu 98,363,12.7,8.8,22.8
Quinoa 99,218,18.2,4.2,33.9
Tuna 100,313,23.8,19.0,51.1
